filename,总分,文件长度得分,代码重复率得分,关键词得分,有效代码得分,多样性得分
04carsReadData.m,74.77,60,84.62,60,100.0,69.23
20news_w100-meta.m,66.0,30,100.0,0,100.0,100.0
20news_w1000-meta.m,67.726,60,95.45,15,100.0,68.18
498143049_robotSimulate_move.m,81.25,100,57.81,100,100.0,48.44
aarmono_codec2_rf_vhf_pa.m,68.588,100,69.41,30,100.0,43.53
ab31mohit_eYantra_2022-2023_coth.m,68.332,30,83.33,45,100.0,83.33
abaloneD.m,58.668,60,66.67,0,100.0,66.67
abcd_hhmm.m,65.494,100,63.29,30,100.0,34.18
abdelhakim96_EECI_course_num2cell.m,88.824,60,100.0,90,100.0,94.12
aberat.m,67.51,100,40.82,60,100.0,36.73
abonyilab_NOCAD_isWeighted.m,67.0,30,80.0,45,100.0,80.0
abs.m,69.0,30,100.0,15,100.0,100.0
accel.m,85.334,100,68.89,100,100.0,57.78
acddemo.m,80.454,100,65.91,75,100.0,61.36
acdfile.m,72.328,80,70.99,60,100.0,50.65
acdmem.m,69.572,60,76.19,45,100.0,66.67
acf.m,69.89,60,77.78,45,100.0,66.67
achanpura_Matlab-WSN-toolbox_nestedHierarchiesModel.m,75.874,100,41.27,100,100.0,38.1
ACID.m,75.026,70,65.46,100,100.0,39.67
ackley.m,70.728,60,81.82,30,100.0,81.82
acqparam.m,81.666,60,83.33,90,100.0,75.0
activlev.m,81.828,80,78.45,100,100.0,50.69
acyclic.m,77.77,60,84.62,75,100.0,69.23
adaboostBin.m,73.5,60,100.0,45,100.0,62.5
adaboostBinPred.m,75.286,60,100.0,45,100.0,71.43
adaboostBin_demo.m,63.142,30,100.0,0,100.0,85.71
adamsmith_indoor-tracking_p.m,76.46,80,61.74,100,100.0,40.56
add.m,82.284,100,65.71,100,100.0,45.71
addbg.m,60.112,30,88.89,15,100.0,66.67
addClass.m,75.0,100,58.33,75,100.0,41.67
addColorBox.m,70.474,60,84.21,45,100.0,63.16
addCTFtrial.m,77.078,70,64.22,100,100.0,51.17
addEvidenceToFactors.m,80.91,60,81.82,90,100.0,72.73
addflops.m,78.0,30,100.0,60,100.0,100.0
addFromFile.m,69.0,30,100.0,15,100.0,100.0
additional_checks_v4.m,73.744,80,58.72,60,100.0,70.0
additiveNoiseModel.m,59.332,100,53.33,15,100.0,28.33
addLegendItem.m,77.526,60,78.95,75,100.0,73.68
addMap.m,74.91,70,58.0,100,100.0,46.55
AddNode.m,67.0,30,100.0,45,100.0,60.0
addOnes.m,64.0,30,80.0,30,100.0,80.0
addPathGoGPS.m,70.982,100,33.33,90,100.0,31.58
addpath_tica.m,66.0,30,100.0,0,100.0,100.0
addplotlystartup.m,86.668,100,80.56,75,100.0,77.78
addScaleBar.m,77.0,60,81.25,75,100.0,68.75
AddShape.m,71.434,70,47.42,100,100.0,39.75
addSpike.m,73.58,100,65.79,60,100.0,42.11
addsquare.m,57.048,60,57.14,30,100.0,38.1
AddTextToImage.m,74.734,100,58.67,75,100.0,40.0
addtheme.m,73.888,100,60.38,60,100.0,49.06
addToStruct.m,63.572,30,71.43,45,100.0,71.43
addtosystempath.m,57.224,30,55.56,45,100.0,55.56
add_batch_noise_obs.m,74.8,100,72.0,60,100.0,42.0
add_bids_matlab_to_path.m,72.0,30,100.0,30,100.0,100.0
add_evidence_to_gmarginal.m,80.858,100,73.02,90,100.0,41.27
add_evidence_to_vmarginal.m,77.858,100,73.02,75,100.0,41.27
add_ev_to_dmarginal.m,75.0,60,100.0,15,100.0,100.0
add_hhmm_end_state.m,73.154,60,69.23,75,100.0,61.54
add_mex_source.m,70.332,60,63.33,75,100.0,53.33
add_missing_field.m,63.572,30,71.43,45,100.0,71.43
add_polynomial_features.m,65.0,30,75.0,45,100.0,75.0
add_sar_2kml.m,75.832,70,67.47,100,100.0,41.69
add_sicd_corners.m,69.696,60,86.96,45,100.0,56.52
add_sparse_gross_noise.m,72.966,60,86.21,60,100.0,58.62
adikhosla_mturkMatlab_DisposeQualificationTypeStruct.m,69.0,30,100.0,15,100.0,100.0
adityagilra_olfactory-bulb_matlab_fit_pulses.m,82.0,100,75.0,90,100.0,45.0
adj2pajek2.m,72.85,100,59.57,60,100.0,44.68
adjacency2incidence.m,72.182,60,81.82,60,100.0,59.09
adjacency_plot_und.m,81.03,100,69.7,90,100.0,45.45
adjswapMutation.m,69.0,30,100.0,15,100.0,100.0
adjustable_CPD.m,69.0,30,100.0,15,100.0,100.0
adjust_psnr.m,73.728,60,81.82,45,100.0,81.82
ADM.m,77.15,100,80.3,60,100.0,45.45
ADMM.m,81.232,100,84.62,60,100.0,61.54
admm_srp.m,72.742,100,53.23,75,100.0,35.48
adm_lrr.m,81.128,80,69.64,100,100.0,56.0
adquistion_example.m,68.632,100,65.79,30,100.0,47.37
adrtod_hasi_hard_impute.m,75.718,80,56.57,100,100.0,42.02
advancefront.m,78.252,100,71.88,60,100.0,59.38
affinemap.m,74.526,60,84.21,60,100.0,68.42
AfniIndex2AfniXYZ.m,71.546,60,68.18,75,100.0,54.55
AfniPrefix.m,53.668,60,46.67,15,100.0,46.67
AfniXYZ2AfniIndex.m,73.25,60,68.75,75,100.0,62.5
AFNI_CoordChange.m,78.634,100,61.9,90,100.0,41.27
afni_fig_interface.m,79.31,80,65.22,100,100.0,51.33
AFNI_Index2XYZcontinuous.m,80.908,100,61.36,100,100.0,43.18
AFNI_IndexChange.m,75.678,100,55.93,75,100.0,47.46
afni_isdigit.m,65.666,30,100.0,15,100.0,83.33
afni_nel_parse.m,82.66,100,72.34,75,100.0,65.96
afni_niml_parse.m,72.606,70,54.03,100,100.0,39.0
afni_niml_print.m,72.586,70,53.78,100,100.0,39.15
afni_niml_read.m,72.0,60,70.0,60,100.0,70.0
afni_niml_readsimple.m,81.918,100,64.38,100,100.0,45.21
afni_niml_readsimpleroi.m,86.0,100,77.5,90,100.0,62.5
afni_niml_test_io.m,76.75,100,65.0,75,100.0,43.75
afni_niml_write.m,79.118,100,64.71,75,100.0,55.88
afni_niml_writesimple.m,78.194,80,66.87,100,100.0,44.1
afni_ni_checkfordata.m,86.668,100,69.05,100,100.0,64.29
afni_ni_defs.m,79.21,100,80.7,75,100.0,40.35
afni_ni_is_numeric_type.m,74.0,60,75.0,60,100.0,75.0
afni_ni_rowtype_name_to_code.m,76.0,60,86.67,60,100.0,73.33
AFNI_OrientCode.m,76.578,100,59.21,100,100.0,23.68
AFNI_SliceDispManip.m,79.474,100,61.84,100,100.0,35.53
afni_swapbytes.m,75.6,60,72.0,90,100.0,56.0
afni_talk_defs.m,74.908,60,86.36,60,100.0,68.18
afni_test_niml_io.m,72.87,100,60.87,60,100.0,43.48
AFNI_XYZcontinuous2Index.m,79.754,100,55.56,100,100.0,43.21
Afunc.m,65.332,30,83.33,30,100.0,83.33
AF_foodconsistence.m,75.0,30,100.0,45,100.0,100.0
Ag.m,76.362,80,81.06,75,100.0,45.75
agglomDemo.m,78.486,100,81.08,60,100.0,51.35
AGH1_compress.m,62.0,30,75.0,30,100.0,75.0
AGH1_learn.m,66.0,60,70.83,45,100.0,54.17
AGH2_compress.m,62.0,30,75.0,30,100.0,75.0
AGH2_learn.m,65.8,60,72.0,45,100.0,52.0
agoyalaman_otfs_ref_dftiv.m,60.5,60,68.75,30,100.0,43.75
agreement.m,79.666,100,61.11,90,100.0,47.22
agreement_weighted.m,72.778,30,100.0,45,100.0,88.89
ahighmoon_ib_final_sk.m,68.666,30,100.0,30,100.0,83.33
Ainray_matlablib_resamp.m,78.278,100,72.13,75,100.0,44.26
aipikachu_ed_1d_bhm2c_hamiltonian_1d_bhm_elements.m,80.904,100,70.97,90,100.0,43.55
AIS-Bonn_matlab_octave_rotations_lib_RotmatEqual.m,74.692,60,69.23,75,100.0,69.23
Ajaxels_MIB2_ImageConverterController.m,76.19,70,61.7,100,100.0,49.25
ajoshiusc_bfp_generateSurfGOrdfMRI.m,60.112,30,77.78,15,100.0,77.78
Al.m,69.254,70,86.73,75,100.0,14.54
alarmBelPropDemo.m,79.916,100,77.08,60,100.0,62.5
alarmDgmTimingComparison.m,76.864,100,74.32,60,100.0,50.0
alarmNetworkFitTest.m,70.182,60,100.0,0,100.0,90.91
alarmTest.m,71.46,100,59.46,60,100.0,37.84
alborzgh_bbpUW_BBanalyze.m,72.504,80,55.77,90,100.0,36.75
