file_index,filename,总分,文件长度得分,代码重复率得分,关键词得分,有效代码得分,多样性得分,分数段
0,498143049_robotSimulate_move.m,81.25,100,57.81,100,100.0,48.44,80-90
1,abdelhakim96_EECI_course_num2cell.m,88.824,60,100.0,90,100.0,94.12,80-90
2,accel.m,85.334,100,68.89,100,100.0,57.78,80-90
3,acddemo.m,80.454,100,65.91,75,100.0,61.36,80-90
4,acqparam.m,81.666,60,83.33,90,100.0,75.0,80-90
5,activlev.m,81.828,80,78.45,100,100.0,50.69,80-90
6,add.m,82.284,100,65.71,100,100.0,45.71,80-90
7,addEvidenceToFactors.m,80.91,60,81.82,90,100.0,72.73,80-90
8,addplotlystartup.m,86.668,100,80.56,75,100.0,77.78,80-90
9,add_evidence_to_gmarginal.m,80.858,100,73.02,90,100.0,41.27,80-90
10,adityagilra_olfactory-bulb_matlab_fit_pulses.m,82.0,100,75.0,90,100.0,45.0,80-90
11,adjacency_plot_und.m,81.03,100,69.7,90,100.0,45.45,80-90
12,ADMM.m,81.232,100,84.62,60,100.0,61.54,80-90
13,adm_lrr.m,81.128,80,69.64,100,100.0,56.0,80-90
14,AFNI_Index2XYZcontinuous.m,80.908,100,61.36,100,100.0,43.18,80-90
15,afni_nel_parse.m,82.66,100,72.34,75,100.0,65.96,80-90
16,afni_niml_readsimple.m,81.918,100,64.38,100,100.0,45.21,80-90
17,afni_niml_readsimpleroi.m,86.0,100,77.5,90,100.0,62.5,80-90
18,afni_ni_checkfordata.m,86.668,100,69.05,100,100.0,64.29,80-90
19,aipikachu_ed_1d_bhm2c_hamiltonian_1d_bhm_elements.m,80.904,100,70.97,90,100.0,43.55,80-90
20,alcu_sms_nufft1_build.m,81.732,80,66.99,100,100.0,61.67,80-90
21,align_xyz2ijk.m,80.28,100,79.75,90,100.0,31.65,80-90
22,AlistairBoettiger_Image_Analysis_fxnproject_color.m,83.226,100,62.9,100,100.0,53.23,80-90
23,AllSensorsReadRoomba.m,85.05,100,79.8,100,100.0,45.45,80-90
24,ALM_SADAL_smoothed.m,82.694,100,78.85,75,100.0,59.62,80-90
25,AlonZuaretz_Stress-Detection-With-a-Smart-Ring_Ledalab.m,84.666,100,73.81,90,100.0,59.52,80-90
26,amd_demo.m,80.484,100,72.58,75,100.0,54.84,80-90
27,amirjamez_COBAYN_plotcov3.m,82.842,100,86.27,75,100.0,52.94,80-90
28,analyzeWconfPSF.m,81.0,60,100.0,45,100.0,100.0,80-90
29,andylamp_moses_1_fd.m,81.378,100,63.79,100,100.0,43.1,80-90
30,andylamp_moses_fd.m,81.378,100,63.79,100,100.0,43.1,80-90
31,anilgurses_LTE-5G-CellSearch_hSIB1PDSCHConfiguration.m,80.942,100,69.12,90,100.0,45.59,80-90
32,anne-urai_2019_Urai_choice-history-ddm_e6_serialBias_SfN_modelFree_fromPython.m,85.28,80,69.9,100,100.0,76.5,80-90
33,anova.m,84.916,80,78.2,100,100.0,66.38,80-90
34,appendstruct.m,84.0,100,72.5,100,100.0,47.5,80-90
35,applyAllPVC_batchHN.m,84.122,100,84.85,60,100.0,75.76,80-90
36,applyEnsembleLR.m,84.924,100,70.77,100,100.0,53.85,80-90
37,applyEnsembleRF.m,81.334,100,66.67,90,100.0,50.0,80-90
38,applyEnsembleRF_table.m,83.436,100,65.62,100,100.0,51.56,80-90
39,apply_colormap.m,80.0,60,80.0,100,100.0,60.0,80-90
40,apply_multiple_ouput.m,82.174,60,86.96,90,100.0,73.91,80-90
41,approxeq.m,80.846,60,92.31,75,100.0,76.92,80-90
42,ApToolmakeDisplayable.m,81.404,80,71.19,100,100.0,55.83,80-90
43,armorf.m,81.116,100,75.32,90,100.0,40.26,80-90
44,array2scalar.m,83.504,100,72.16,100,100.0,45.36,80-90
45,arrow3.m,80.232,70,79.76,100,100.0,51.4,80-90
46,asc_name.m,85.958,100,72.34,100,100.0,57.45,80-90
47,assign_material_node.m,84.074,100,68.52,100,100.0,51.85,80-90
48,assortativity_wei.m,81.752,100,71.88,90,100.0,46.88,80-90
49,atan2sc.m,80.624,100,90.62,75,100.0,37.5,80-90
50,Au.m,84.796,100,83.67,75,100.0,65.31,80-90
51,autoChoiceBestModels_HN.m,81.352,100,85.29,45,100.0,76.47,80-90
52,autoChoiceBestModels_HN_TryFus.m,82.528,100,85.29,45,100.0,82.35,80-90
53,autoGrad.m,81.252,100,71.88,75,100.0,59.38,80-90
54,averageprecision.m,80.5,100,80.0,60,100.0,62.5,80-90
55,axis_pct.m,82.258,100,75.81,100,100.0,35.48,80-90
56,backT_mpe.m,80.334,60,86.67,75,100.0,80.0,80-90
57,barthannwin.m,81.118,60,94.12,75,100.0,76.47,80-90
58,base64decode.m,80.91,100,70.91,90,100.0,43.64,80-90
59,Basic.m,80.564,100,57.75,100,100.0,45.07,80-90
