file_index,filename,总分,文件长度得分,代码重复率得分,关键词得分,有效代码得分,多样性得分,分数段,content
0,coarray_selection_matrix_1d.m,82.866,100,67.57,90,100.0,56.76,80-90,"function F = coarray_selection_matrix_1d(design, exclude_negative_part, C)
if nargin < 2
    exclude_negative_part = false;
end
if nargin < 3
    C = [];
else
    if any(size(C) ~= [design.element_count design.element_count])
        error('The dimension of C does not matrix that of R.');
    end
end

[diffs, weights, indices] = weight_function_1d(design);
[~, m_v, zero_idx] = get_central_ula_size(diffs);
if exclude_negative_part
    unif_idx_range = zero_idx:zero_idx+m_v-1;
else
    unif_idx_range = zero_idx-m_v+1:zero_idx+m_v-1;
end

F = zeros(length(unif_idx_range), design.element_count^2);
if isempty(C)
    for i = 1:length(unif_idx_range)
       cur_weight = weights(unif_idx_range(i));
       F(i, indices{unif_idx_range(i)}) = 1/cur_weight;
    end
else
    c = C(:);
    c(c == 0) = eps*10;
    for i = 1:length(unif_idx_range)
       cur_indices = indices{unif_idx_range(i)};
       F(i,cur_indices) = c(cur_indices);
    end
    F = bsxfun(@times, F, 1./sum(F,2));
end

end"
1,coarsealign3.m,80.154,60,100.0,60,100.0,80.77,80-90,"function att = coarsealign3(imudata,lat,smoothepoch)
if (nargin<2) error('error in data'); end;
if (isempty(imudata)|isempty(lat)) error('error in data'); end;
[n,m] = size(imudata);
if (n<1 || m<7) error('error in data'); end;
if (isempty(lat)) error('error in data'); end; 
if (nargin<3) smoothepoch = min(256,n); end;
if (isempty(smoothepoch) || smoothepoch<1) smoothepoch = min(134,n); end;
we = 7.292115147e-05;  % Earth Rotate rate
att = [];
att_index = 0;
smoothepoch=fix(smoothepoch);
for index=1:smoothepoch:n
 	x=index:min(index+smoothepoch-1,n);
    curacc = sum(imudata(x,2:4))/size(imudata,1);
    curgyro = sum(imudata(x,5:7))/size(imudata,1);
    curaccgyro = cross(-curacc,curgyro);
    gravmag = norm(curacc);
    matrix1=[ 0 0 -gravmag; we*cos(lat) 0 -we*sin(lat); 0 gravmag*we*cos(lat) 0];    
    matrix2=[curacc;curgyro;curaccgyro];
    c_nb = matrix1\\matrix2;% see Jekeli, 2000, page 243, (8.12)
    curatt = Cbn2att(c_nb);   
    
    att_index = att_index+1;
    att(att_index,:)= [imudata(index,1) curatt(:)'];
end"
2,coarsegrain.m,82.456,100,64.91,100,100.0,47.37,80-90,"function scaledData = coarsegrain(data,tau,cg_moment,cg_method)

if nargin < 2
