file_index,file_name,language,content,score
0,coarray_selection_matrix_1d.m,matlab,"function F = coarray_selection_matrix_1d(design, exclude_negative_part, C)
if nargin < 2
    exclude_negative_part = false;
end
if nargin < 3
    C = [];
else
    if any(size(C) ~= [design.element_count design.element_count])
        error('The dimension of C does not matrix that of R.');
    end
end

[diffs, weights, indices] = weight_function_1d(design);
[~, m_v, zero_idx] = get_central_ula_size(diffs);
if exclude_negative_part
    unif_idx_range = zero_idx:zero_idx+m_v-1;
else
    unif_idx_range = zero_idx-m_v+1:zero_idx+m_v-1;
end

F = zeros(length(unif_idx_range), design.element_count^2);
if isempty(C)
    for i = 1:length(unif_idx_range)
       cur_weight = weights(unif_idx_range(i));
       F(i, indices{unif_idx_range(i)}) = 1/cur_weight;
    end
else
    c = C(:);
    c(c == 0) = eps*10;
    for i = 1:length(unif_idx_range)
       cur_indices = indices{unif_idx_range(i)};
       F(i,cur_indices) = c(cur_indices);
    end
    F = bsxfun(@times, F, 1./sum(F,2));
end

end",22.0
1,coarsealign3.m,matlab,"function att = coarsealign3(imudata,lat,smoothepoch)
if (nargin<2) error('error in data'); end;
if (isempty(imudata)|isempty(lat)) error('error in data'); end;
[n,m] = size(imudata);
if (n<1 || m<7) error('error in data'); end;
if (isempty(lat)) error('error in data'); end; 
if (nargin<3) smoothepoch = min(256,n); end;
if (isempty(smoothepoch) || smoothepoch<1) smoothepoch = min(134,n); end;
we = 7.292115147e-05;  % Earth Rotate rate
att = [];
att_index = 0;
smoothepoch=fix(smoothepoch);
for index=1:smoothepoch:n
 	x=index:min(index+smoothepoch-1,n);
    curacc = sum(imudata(x,2:4))/size(imudata,1);
    curgyro = sum(imudata(x,5:7))/size(imudata,1);
    curaccgyro = cross(-curacc,curgyro);
    gravmag = norm(curacc);
    matrix1=[ 0 0 -gravmag; we*cos(lat) 0 -we*sin(lat); 0 gravmag*we*cos(lat) 0];    
    matrix2=[curacc;curgyro;curaccgyro];
    c_nb = matrix1\\matrix2;% see Jekeli, 2000, page 243, (8.12)
    curatt = Cbn2att(c_nb);   
    
    att_index = att_index+1;
    att(att_index,:)= [imudata(index,1) curatt(:)'];
end",18.37
2,coarsegrain.m,matlab,"function scaledData = coarsegrain(data,tau,cg_moment,cg_method)

if nargin < 2
    error('Wrong number of input arguments');
end
if nargin < 3 || isempty(cg_moment)
    cg_moment = 'mean';    
end
if nargin < 4 || isempty(cg_method)
    cg_method = 'fir';   
end


L = length(data);
J = fix(L/tau);




if tau < 1
    error('The scale factor must be a positive integer number');
elseif tau == 1
    switch cg_method
        case 'fir'
            scaledData = data; % return orignal series
        case 'butter'
            undec_scaledData = data;",39.01
3,coarsen3.m,matlab,"function [node,elem,bdFlag,HB,indexMap,tree]= ...
         coarsen3(node,elem,markedElem,bdFlag,HB)

tree = []; 
indexMap  = (1:size(node,1))'; % default output
if isempty(markedElem), return; end
if strcmp(markedElem,'all'), markedElem = (1:size(elem,1))'; end

N = size(node,1); 
NT = size(elem,1);
generation = zeros(N,1);
generation(HB(:,1)) = HB(:,4);
valence = accumarray(elem(:),ones(4*NT,1),[N 1]);
valenceNew = accumarray(elem(:,4),ones(NT,1), [N 1]);
valenceMarked = accumarray(elem(markedElem,4),ones(length(markedElem),1),[N 1]);
isGoodNode = (valence == valenceNew) ... coarsen new added vertex
           & (valenceNew == valenceMarked) ... all elements of new vertex are marked
           & (generation>0); % not coarsen the initial grid.
if ~any(isGoodNode)
    return
end
t = find(isGoodNode(elem(:,4))); % all elements contaning good nodes

if exist('bdFlag','var') && ~isempty(bdFlag)
    bdElem = t(bdFlag(t,4)~=0);
    if ~isempty(bdElem)
        isBdGoodNode = false(N,1);
        isBdGoodNode(elem(bdElem,4)) = true;
        bdElem = t(isBdGoodNode(elem(t,4)));
        T = auxstructure3(elem(bdElem,:));  % only the structure of bdElem
        leftNode = HB(elem(bdElem,4),2);
        for k = 1:3
            kidx = (elem(bdElem,k)==leftNode); % idx of bdElem
            tl = bdElem(kidx);                 % left element
            tr = bdElem(T.neighbor(kidx,k));   % matched neighbor 
            bdFlag(tl,k) = bdFlag(tr,4);    
        end
    end
else
	bdFlag=[];
end

leftNode = HB(elem(t,4),2);
idx = (elem(t,1)==leftNode) | (elem(t,2)==leftNode) | (elem(t,3)==leftNode);
tl = t(idx); ",17.05
3,coarsen3.m,matlab,"elem(tl((idx==3)),1:4) = elem(tl((idx==3)),[4 2 1 3]);
if exist('bdFlag','var') && ~isempty(bdFlag)
    bdFlag(tl((idx==1)),1:4) = bdFlag(tl((idx==1)),[2 4 3 1]);
    bdFlag(tl((idx==2)),1:4) = bdFlag(tl((idx==2)),[3 4 1 2]);
    bdFlag(tl((idx==3)),1:4) = bdFlag(tl((idx==3)),[4 2 1 3]);
end

elem(tr,:) = [];
inCoarse = true(NT,1);
inCoarse(tr) = false;
elemidxMap = zeros(NT,1);
elemidxMap(inCoarse) = 1:size(elem,1); 
tree(:,1) = elemidxMap(tree(:,1));
if (nargin==5) && ~isempty(bdFlag)
    bdFlag(tr,:) = [];
end
node(isGoodNode,:) = [];
HB(isGoodNode,:) = [];
indexMap = zeros(N,1);
indexMap(~isGoodNode) = 1:size(node,1);
elem = indexMap(elem);
HB(:,1:3) = indexMap(HB(:,1:3));",12.12
4,coarsenAMGa.m,matlab,"function [node2agg,As] = coarsenAMGa(A,theta)

if ~exist('theta','var'), theta = 0.025; end
N = size(A,1);
isC = false(N,1);       % C: coarse node
N0 = min(sqrt(N),25);   % number of the coarest nodes

node2agg = zeros(N,1);
agg2node = zeros(N,1);

Dinv = spdiags(1./sqrt(diag(A)),0,N,N);
Am = Dinv*A*Dinv;       % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);    % delete weakly connect off-diagonal and diagonal
As = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness
As = As + speye(N);    % add diagonal
As1 = spones(As);      % graph of As
As2 = triu(As1*As1,1); % edges of the graph corresponding to As^2

deg = full(transpose(sum(As1))); % number of strongly connected neighbors
if sum(deg>0) < 0.25*sqrt(N)  % too few connected nodes e.g. A is mass matrix
    isC(ceil(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    agg2node = find(isC);
    node2agg(isC) = (1:length(agg2node))';
    return                    % smoother is a good preconditioner
end           ",28.45
5,coarsenAMGc.m,matlab,"function [isC,G] = coarsenAMGc(A,theta)

if ~exist('theta','var'), theta = 0.025; end
N = size(A,1);
isC = false(N,1);       % C: coarse node
N0 = min(floor(sqrt(N)),25);   % number of the coarest nodes

Dinv = spdiags(1./sqrt(diag(A)),0,N,N);
Am = Dinv*A*Dinv;       % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);    % delete weakly connect off-diagonal and diagonal
G = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness


deg = sum(spones(G)); % number of strongly connected neighbors
deg = full(deg');
if sum(deg>0) < 0.25*sqrt(N)   % too few connected nodes e.g. A is mass matrix
    isC(ceil(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    return                    % smoother is a good preconditioner
end           
idx = (deg>0);
deg(idx) = deg(idx) + 0.1*rand(sum(idx),1); % break the equal degree case so

isF = false(N,1);       % F: fine node
isF(deg == 0) = true;   % isolated nodes are added into F set
isU = true(N,1);        % U: undecided set",30.55
6,coarsenAMGdoc.m,matlab,"clear all
help coarsenAMGc

[node,elem] = squaremesh([0,1,0,1],1/8);
[A,M] = assemblematrix(node,elem);

theta = 0.025;
N = size(A,1);
N0 = min(sqrt(N),50);       % number of the coarest nodes

D = spdiags(1./sqrt(diag(A)),0,N,N);
Am = D*A*D;  % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);   % delete weakly connect off-diagonal and diagonal
As = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness

deg = sum(spones(As)); % number of strongly connected neighbors
deg = full(deg');
if sum(deg>0) < 0.1*sqrt(N)   % too few connected nodes e.g. A is mass matrix
    isC(round(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    return                    % smoother is a good preconditioner
end           
idx = (deg>0);
deg(idx) = deg(idx) + 0.1*rand(sum(idx),1); % break the equal degree case

isC = false(N,1);       % C: coarse node
isF = false(N,1);       % F: fine node
isU = true(N,1);        % S: selected set
isF(deg == 0) = true;   % isolated nodes are added into F set
close all;
set(gcf,'Units','normal'); 
set(gcf,'Position',[0.5,0.5,0.5,0.5]);
showmesh(node,elem); 
findnode(node,isU,'noindex','Color','k','MarkerSize',32)
m = 1;
while sum(isC) < N/2 && sum(isU) >N0 
    isS = false(N,1);  % S: selected set, changing in the coarsening
    isS(deg>0) = true;
    S = find(isS); 
    fprintf('Coarsening ... \\n');
    
    [i,j] = find(triu(As(S,S),1));    % i,j and i<j: edges of subgraph S
    idx = deg(S(i)) >= deg(S(j));     % compare degree of vertices
    isS(S(j(idx))) = false;  % remove vertices with smaller degree 
    isS(S(i(~idx))) = false; 
    isC(isS) = true;
    findnode(node,isS,'noindex','Color','m');
    fprintf('Number of chosen points: %6.0u\\n',sum(isS));
    snapnow",23.05
7,coarsenAMGrs.m,matlab,"function [Ac,Pro,Res] = coarsenAMGrs(A,theta)


if nargin<2, theta = 0.025; end

N = size(A,1);
maxaij = min(A); % max of negative of off-diagonals
D = spdiags(1./abs(maxaij'),0,N,N);
Am = D*A;

[im,jm,sm] = find(Am); 
idx = (-sm > theta); % delete weak connectness and diagonal
As = sparse(im(idx),jm(idx),1,N,N); % asymmetric matrix for directed graph
Am = sparse(im(idx),jm(idx),sm(idx),N,N);
Ass = (As + As')/2;  % symmetric matrix for the undirected graph


isF = false(N,1);     % F: fine node
degIn = sum(As);      % number of vertices strong connected to
degIn = full(degIn');
isF(degIn == 0) = true; % isolated nodes are fine nodes

isC = false(N,1);       % C: coarse node
U = (1:N)';             % U: undecided node
degFin = zeros(N,1);    % number of F nodes strong connected to
while sum(isC) < N/2 && length(U)>20
    isS = false(N,1);  % S: selected set, changing in the coarsening
    degInAll = degIn + degFin;
    isS((rand(N,1) < 0.85*degInAll/mean(degInAll)) & (degInAll>0)) = true; 
    S = find(isS); % transfer index for S to U

    [i,j] = find(triu(Ass(S,S),1));    % i,j: index for S
    idx = degInAll(S(i)) >= degInAll(S(j)); % compare degree of vertices
    isS(S(j(idx))) = false; % remove vertices with smaller degree 
    isS(S(i(~idx))) = false;
    isC(isS) = true;
",25.05
8,coarsen_polygon.m,matlab,"function polyobj = coarsen_polygon(polyobj,iboubox)
idx = find(isnan(polyobj(:,1)));
C = mat2cell(polyobj,diff([0;idx]),2);
new = cell(length(C),1);
for iii = 1 : length(C)
    j = 0 ; k = 0;
    [in] = inpoly(C{iii},iboubox(1:end-1,:));
    new{iii} = zeros(length(C{iii}),2);
    while j < length(C{iii})-1
        j = j + 1 ;
        if in(j) % point is in domain keep it
            k = k + 1;
            new{iii}(k,:) = C{iii}(j,:);
        else % pt is out of domain
            bd = min([j+200,length(in)-1]) ;
            exte = min(200,bd - j);
            if sum(in(j:bd))==0 % if next hundred points are out, then we can decimate
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j,:);
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j+exte,:);
                j = j + exte ;
            else % otherwise keep
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j,:);
            end
            
        end
    end
    new{iii}(k+1,:) = [NaN NaN] ;
    new{iii}(k+2:end,:) = [];
end
polyobj = cell2mat(new);
end",17.33
